iter	Logloss
0	0.6921850054
1	0.6914737277
2	0.6906566567
3	0.6899845264
4	0.6890583233
5	0.6882121846
6	0.687204218
7	0.6862082356
8	0.6853037239
9	0.6844318203
10	0.6834524363
11	0.6825101873
12	0.6815568554
13	0.6806804623
14	0.6797864407
15	0.6790087477
16	0.6781463821
17	0.6772635543
18	0.6760690505
19	0.6751196299
20	0.6740959109
21	0.6731434626
22	0.6722544593
23	0.6712394676
24	0.6702218187
25	0.6694061987
26	0.6683832137
27	0.6674164899
28	0.6664993819
29	0.66592104
30	0.6650313248
31	0.6641098373
32	0.6633397117
33	0.6625243452
34	0.6617999498
35	0.6608543212
36	0.6599535712
37	0.6590727258
38	0.6581443005
39	0.6572872137
40	0.6566188708
41	0.6556010101
42	0.6547448701
43	0.6537465305
44	0.6529347686
45	0.6520297557
46	0.6511801221
47	0.6503291993
48	0.6495631153
49	0.648559518
50	0.6478051942
51	0.6469337713
52	0.6460673905
53	0.6451567013
54	0.644747845
55	0.6440480941
56	0.6431670505
57	0.6423117416
58	0.6414516348
59	0.6406592457
60	0.6397717114
61	0.638851253
62	0.6381335947
63	0.6372707783
64	0.6364756842
65	0.635607861
66	0.634826617
67	0.6340619579
68	0.6331627514
69	0.6323233003
70	0.6315574244
71	0.6306132098
72	0.6296874631
73	0.6288857796
74	0.6279302503
75	0.627084709
76	0.6266888367
77	0.6257467049
78	0.6250127389
79	0.6241684085
80	0.6232523447
81	0.6225038922
82	0.6218410223
83	0.6209669386
84	0.6202504602
85	0.6193769703
86	0.6185214154
87	0.6175736884
88	0.616878092
89	0.6161795608
90	0.6153124716
91	0.614537461
92	0.613735112
93	0.6129843408
94	0.6121553808
95	0.6115754843
96	0.6109238866
97	0.6101210526
98	0.6093689519
99	0.6087203987
100	0.6084080019
101	0.6077172552
102	0.6069480322
103	0.6061871783
104	0.6056249155
105	0.6048524363
106	0.6040393427
107	0.6033639338
108	0.6027190745
109	0.6021736643
110	0.6016107099
111	0.6010747703
112	0.600423201
113	0.5996114167
114	0.5988953354
115	0.5983602638
116	0.5976363865
117	0.5969633704
118	0.5961404219
119	0.5954899791
120	0.594680061
121	0.5939074274
122	0.5932312348
123	0.5925445758
124	0.5920296127
125	0.5912016617
126	0.5905369211
127	0.5897059839
128	0.5889384875
129	0.5881424138
130	0.5873692062
131	0.5865762303
132	0.5859000367
133	0.5851543427
134	0.584421118
135	0.5839283094
136	0.5831002771
137	0.5822772874
138	0.5815411911
139	0.5807915705
140	0.5801272471
141	0.5795624342
142	0.5789790549
143	0.5781766759
144	0.5774173338
145	0.5767648125
146	0.5760113841
147	0.5752751597
148	0.5746123794
149	0.5738574227
150	0.5730414338
151	0.5722585982
152	0.571594504
153	0.5709792955
154	0.5702239071
155	0.5694851041
156	0.5688344477
157	0.5681207152
158	0.5674199327
159	0.566780638
160	0.5661754738
161	0.5655005029
162	0.5648904886
163	0.5641146254
